1,3IwUoMMvu6,20,aVPtwd1SYMOWvTR
2,zSyXM6Xv5W,27,nY4SfM9vzoP2fcC
3,CGnczrsowF,30,3n6PRmCBEey8u6A
4,5cmgBaENYf,13,6kYjuuMxTS8dp0f
5,ITBIG5hbyA,5,uyCHllvw665xlBs
6,zp7a5Km2K5,3,V7uFpeOAPID7y6l
7,IcDVN5aB0W,14,2y6vvZ04Kflz5qA
8,ZMBLd1y3f2,0,VrLqHarrBbl6BoS
9,QCWP7BCHmN,16,efbwK0XujvhGDdo
10,4VCIO1nHGD,10,ThhoZYoHkesgs7M
11,inbLqgpdw2,30,sBjFzRduijD0F3O
12,FuF9sdqUT1,17,XPquIgBc8VueqwB
13,ihvo4WGpmK,36,2ha4b5CJSLVqF4I
14,I9DZWn3OC4,17,bHDkyqOpc3S0p53
15,RLNmC9Ai59,17,MhtGPY7q8UFLcSK
16,8WMfoQvmC4,23,IHTGLvoZcRWoW6A
17,djei88j1f5,7,7TAkW1mwzrM6jin
18,KGNddIBqyu,33,t1Byk3Dsy2e7oo1
19,hv6E8gi9Ic,20,DQTFW3XR6P68UVq
20,ZG8N9WCIDh,8,WUJinGStSRnjFup
21,sFpYjHd0b0,15,g5yTTEXLT3oKWCB
22,8YV11Ku177,12,AaHaNOVYoguQlW2
23,BmqysiEHt1,37,lVsm2AyuLCFWFJI
24,cThKiXMQEi,6,T4c3rwaj23ZEZ7U
25,gO7kBt4H6T,14,zwPORiXRsuwuiJx
26,BFyBxIurUz,27,2vasDHQbjr72dZB
27,jMOzPEoM9c,20,2iyHZASQZ5EgMrM
28,yNyvVWSNke,18,mRraOcF8KoxhcC6
29,uhkrLkOaan,28,kkY4pPa9BmzphYR
30,Mn31QQpvtu,13,4aKOjvNzeCwGnpP
31,vkEXDsOxqR,14,z7jcIkRfpxkWkKd
32,YOJSLuqYc9,35,cHiMZ3hrviuKfdQ
33,19I1YiB1uF,14,4MDtYykeZ3pGfwV
34,JWF0roEJUM,25,CiEj9ZHBGp3bMwQ
35,SHwZYWKuIN,6,8BSK12ryRYctpbA
36,kjnfNZEj8m,11,HKOcubTvu3EXNFE
37,HWZdW9ULKB,13,NajuTIFb3jc2l8e
38,ZgZPNttU1u,33,hZFyrfJFrL4JqKf
39,emO5BSQrJD,20,Eay1LgK68DxKqU2
40,gp5xG8OtAk,39,fMzOiy0o2z4E2wK
41,XZjn1Vr1Xn,26,4ldApg5qASu9RlB
42,3rrdUm8f7J,3,VzLZ9pQFfQS36j2
43,mSAdqycFK5,2,izWdGd80x1mnpwh
44,FuIaesRgKn,0,9ukldTH0OkKcT4k
45,03NbOnfuCx,4,FWi3YIkT5YkpyHm
46,TOE6lcSqpS,36,Z9AlKL8UCvA7OaQ
47,BzLQhZTcjC,25,6bCz8qdy656QZeO
48,WoDgRaMqQ5,19,UGWNMZJ0dd5FTAN
49,Hj30QVbcSP,28,7YSaysMEarzLsGL
